listing_id,date
5417072,2015-05-01
5417072,2015-09-24
1003214,2014-05-05
1003214,2014-05-12
1003214,2014-05-31
1003214,2014-06-04
1003214,2014-06-24
1003214,2014-07-24
1003214,2014-07-29
1003214,2014-08-03
1003214,2014-08-11
1003214,2014-08-26
1003214,2014-09-18
1003214,2014-09-23
1003214,2015-01-03
1003214,2015-03-08
1003214,2015-04-06
1003214,2015-04-28
1003214,2015-05-20
1003214,2015-06-18
1003214,2015-07-04
1003214,2015-07-07
1003214,2015-07-27
1003214,2015-08-18
1003214,2015-08-26
1003214,2015-08-30
1003214,2015-09-06
1003214,2015-10-07
1003214,2015-10-12
1003214,2015-10-18
1003214,2015-10-26
1003214,2015-12-09
2713993,2014-06-02
2713993,2015-05-03
2713993,2015-09-27
7798800,2015-11-10
1002233,2014-04-08
1002233,2014-06-23
1002233,2014-07-02
1002233,2014-07-08
1002233,2014-09-19
1002233,2014-09-27
1002233,2014-10-05
1002233,2014-10-10
1002233,2014-10-16
1002233,2014-10-25
1002233,2014-11-11
1002233,2014-11-16
1002233,2014-11-26
1002233,2014-12-08
1002233,2015-01-03
1002233,2015-01-18
1002233,2015-01-26
1002233,2015-02-04
1002233,2015-02-16
1002233,2015-02-19
1002233,2015-03-01
1002233,2015-03-09
1002233,2015-03-16
1002233,2015-03-21
1002233,2015-04-19
1002233,2015-04-23
1002233,2015-05-07
1002233,2015-05-14
1002233,2015-06-06
1002233,2015-06-12
1002233,2015-06-16
1002233,2015-06-23
1002233,2015-07-02
1002233,2015-07-10
1002233,2015-07-18
1002233,2015-07-30
1002233,2015-08-09
1002233,2015-08-16
1002233,2015-09-13
1002233,2015-09-24
1002233,2015-09-28
1002233,2015-10-07
1002233,2015-10-24
1002233,2015-11-01
1002233,2015-11-27
3037035,2014-06-21
3037035,2014-07-14
3037035,2014-07-16
3037035,2014-07-25
3037035,2014-08-08
3037035,2014-09-03
3037035,2014-09-16
3037035,2014-09-21
3037035,2014-10-02
3037035,2014-10-13
3037035,2014-10-29
3037035,2014-11-22
3037035,2015-05-10
3037035,2015-05-12
3037035,2015-05-24
3037035,2015-05-30
3037035,2015-05-31
3037035,2015-06-10
3037035,2015-06-22
3037035,2015-06-25
3037035,2015-07-04
3037035,2015-07-07
3037035,2015-07-19
3037035,2015-08-08
3037035,2015-08-13
3037035,2015-08-20
3037035,2015-08-27
3037035,2015-09-02
3037035,2015-09-21
3037035,2015-09-30
5411744,2015-03-17
5411744,2015-04-09
5411744,2015-04-14
5411744,2015-04-21
5411744,2015-04-23
5411744,2015-04-29
5411744,2015-05-04
5411744,2015-05-09
5411744,2015-05-13
5411744,2015-05-19
5411744,2015-06-01
5411744,2015-06-06
5411744,2015-06-21
5411744,2015-06-22
5411744,2015-06-29
5411744,2015-07-12
5411744,2015-07-15
5411744,2015-07-22
5411744,2015-08-03
5411744,2015-08-13
5411744,2015-09-17
5411744,2015-09-20
5411744,2015-09-22
5411744,2015-10-02
5411744,2015-10-09
5411744,2015-10-13
5411744,2015-10-17
5411744,2015-10-19
5411744,2015-10-21
5411744,2015-10-26
5411744,2015-10-29
5411744,2015-11-02
5411744,2015-11-06
5411744,2015-11-09
5411744,2015-12-01
5411744,2015-12-31
3603988,2016-01-01
1802096,2014-02-28
1802096,2014-06-03
1802096,2014-07-15
1802096,2014-07-23
1802096,2014-07-29
1802096,2014-08-14
1802096,2014-08-17
1802096,2014-08-20
1802096,2014-08-28
1802096,2014-09-23
1802096,2014-11-07
1802096,2015-03-06
1802096,2015-04-27
1802096,2015-05-13
1802096,2015-05-19
1802096,2015-05-26
1802096,2015-06-05
1802096,2015-07-14
1802096,2015-08-01
1802096,2015-08-31
1802096,2015-09-30
1802096,2015-10-10
1802096,2015-10-21
1802096,2015-10-29
8841882,2015-11-04
8841882,2015-11-09
8841882,2015-11-10
8841882,2015-11-11
8841882,2015-11-27
8841882,2015-11-29
8841882,2015-12-03
8841882,2015-12-08
8841882,2015-12-13
8841882,2015-12-16
804268,2013-02-28
804268,2013-09-11
804268,2014-06-02
804268,2014-06-19
804268,2014-07-31
804268,2014-10-29
804268,2015-01-11
804268,2015-03-07
804268,2015-05-12
804268,2015-08-16
798676,2014-08-01
5080055,2015-06-01
5080055,2015-07-02
5080055,2015-08-10
5080055,2015-08-25
10171635,2016-01-02
1587809,2013-09-27
1587809,2014-04-28
1587809,2014-05-11
1587809,2015-01-06
1587809,2015-02-15
1587809,2015-02-22
1587809,2015-03-05
1587809,2015-06-28
1587809,2015-07-07
1587809,2015-08-07
3510797,2014-07-24
3510797,2014-08-14
3510797,2014-08-21
3510797,2014-09-04
3510797,2014-09-10
3510797,2014-09-14
3510797,2014-09-17
3510797,2014-09-23
3510797,2014-09-28
3510797,2014-10-07
3510797,2014-11-10
3510797,2014-11-23
3510797,2015-02-13
3510797,2015-02-23
3510797,2015-02-28
3510797,2015-03-04
3510797,2015-03-05
3510797,2015-03-11
3510797,2015-04-01
3510797,2015-04-19
3510797,2015-04-22
3510797,2015-04-26
3510797,2015-04-28
3510797,2015-05-04
3510797,2015-06-14
3510797,2015-06-17
3510797,2015-06-23
3510797,2015-07-10
3510797,2015-07-19
3510797,2015-07-26
3510797,2015-08-07
3510797,2015-08-17
3510797,2015-10-07
3918493,2014-08-23
3918493,2014-09-02
3918493,2014-10-20
3918493,2015-04-07
3918493,2015-04-10
3918493,2015-04-15
3918493,2015-04-17
3918493,2015-04-20
3918493,2015-04-23
3918493,2015-04-30
3918493,2015-05-13
3918493,2015-06-01
3918493,2015-06-05
3918493,2015-08-17
3918493,2015-10-09
3918493,2015-12-30
3566075,2015-07-05
3566075,2015-08-09
1444019,2014-06-09
5343700,2015-04-18
5343700,2015-07-01
5343700,2015-07-27
5343700,2015-08-08
5343700,2015-09-09
5343700,2015-09-16
5343700,2015-10-14
5343700,2015-10-20
5343700,2015-11-23
7852092,2015-10-13
7852092,2015-10-27
3598387,2014-07-27
3598387,2014-07-30
3598387,2014-08-09
3598387,2014-08-12
3598387,2014-08-19
3598387,2014-08-23
3598387,2014-09-01
3598387,2014-09-28
3598387,2014-11-02
3598387,2015-01-03
3598387,2015-04-02
3598387,2015-04-15
3598387,2015-05-29
3598387,2015-05-31
3598387,2015-07-20
3598387,2015-07-23
3598387,2015-08-08
3598387,2015-08-11
3598387,2015-08-21
3598387,2015-08-28
3598387,2015-09-06
3598387,2015-09-08
3598387,2015-12-08
1732072,2014-05-26
1732072,2014-06-02
1732072,2014-06-15
1732072,2014-06-23
1732072,2014-07-05
1732072,2014-07-22
1732072,2014-07-24
1732072,2014-08-15
1732072,2014-10-01
1732072,2015-07-06
1732072,2015-07-13
1732072,2015-07-16
1732072,2015-07-21
1732072,2015-07-28
1732072,2015-07-31
1732072,2015-08-02
1732072,2015-09-11
1732072,2015-09-17
1732072,2015-09-28
1732072,2015-10-30
847375,2013-01-05
847375,2013-06-05
847375,2013-06-19
847375,2013-07-14
847375,2013-07-22
847375,2013-07-27
847375,2013-08-14
847375,2013-08-22
847375,2013-09-24
847375,2013-09-28
847375,2013-10-02
847375,2013-10-10
847375,2013-10-11
847375,2013-10-14
847375,2013-10-27
847375,2013-11-06
847375,2014-01-04
847375,2014-02-18
847375,2014-03-05
847375,2014-03-08
847375,2014-03-10
847375,2014-04-23
847375,2014-05-06
847375,2014-05-13
847375,2014-05-20
847375,2014-05-27
847375,2014-06-17
847375,2014-06-22
847375,2014-07-01
847375,2014-07-06
847375,2014-07-16
847375,2014-07-27
847375,2014-08-11
847375,2014-09-26
847375,2014-09-30
847375,2014-10-13
847375,2014-10-18
847375,2014-10-26
847375,2014-11-17
847375,2014-11-29
847375,2015-01-01
847375,2015-02-16
847375,2015-03-17
847375,2015-04-01
847375,2015-04-07
847375,2015-05-10
847375,2015-05-16
847375,2015-05-22
847375,2015-05-26
847375,2015-05-28
847375,2015-06-02
847375,2015-06-12
847375,2015-06-13
847375,2015-06-29
847375,2015-06-30
847375,2015-07-07
847375,2015-07-16
847375,2015-07-26
847375,2015-07-26
847375,2015-08-18
847375,2015-08-22
847375,2015-09-07
847375,2015-09-15
847375,2015-09-23
847375,2015-09-25
847375,2015-10-12
847375,2015-11-06
847375,2015-11-23
847375,2015-12-01
847375,2015-12-05
847375,2015-12-07
847375,2015-12-13
847375,2015-12-20
847375,2016-01-03
6572115,2015-06-04
6572115,2015-06-09
6572115,2015-06-19
6572115,2015-06-21
6572115,2015-06-22
6572115,2015-06-30
6572115,2015-07-21
6572115,2015-07-24
6572115,2015-08-09
6572115,2015-08-24
6572115,2015-09-04
6572115,2015-09-10
6572115,2015-09-21
6572115,2015-09-21
6572115,2015-09-30
6572115,2015-10-02
6572115,2015-10-11
6572115,2015-10-18
6572115,2015-10-19
6572115,2015-10-25
6572115,2015-10-29
6572115,2015-11-03
6572115,2015-11-08
6572115,2015-11-10
6572115,2015-11-14
6572115,2015-11-16
6572115,2015-11-19
6572115,2015-11-23
6572115,2015-11-27
6572115,2015-12-01
2212856,2014-04-20
2212856,2014-05-04
2212856,2014-05-14
2212856,2014-05-18
2212856,2014-06-10
2212856,2014-06-14
2212856,2014-06-17
2212856,2014-06-23
2212856,2014-07-03
2212856,2014-07-27
2212856,2014-08-11
2212856,2014-08-16
2212856,2014-08-20
2212856,2014-08-31
2212856,2014-09-06
2212856,2014-09-14
2212856,2014-09-18
2212856,2014-09-28
2212856,2014-10-05
2212856,2014-10-08
2212856,2014-10-12
2212856,2014-10-27
2212856,2015-05-08
2212856,2015-05-12
2212856,2015-05-17
2212856,2015-05-29
2212856,2015-06-03
2212856,2015-06-12
2212856,2015-06-16
2212856,2015-06-22
2212856,2015-06-28
2212856,2015-07-03
2212856,2015-07-11
2212856,2015-07-23
2212856,2015-07-25
2212856,2015-07-28
2212856,2015-07-31
2212856,2015-08-04
2212856,2015-08-07
2212856,2015-08-09
2212856,2015-08-24
2212856,2015-09-05
2212856,2015-09-15
2212856,2015-09-28
2212856,2015-10-02
2212856,2015-10-08
2212856,2015-10-13
2212856,2015-10-24
2212856,2015-10-27
2212856,2015-11-02
2212856,2015-11-16
6222502,2015-09-21
4098204,2015-02-02
4098204,2015-08-27
5246499,2015-04-15
5246499,2015-04-19
5246499,2015-04-23
5246499,2015-04-25
5246499,2015-04-28
